section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572463151480,-0.853659,-0.121951,-3.231707,-0.022095,-0.909729,0.147278,8.394144555015657,9.204827975849128
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572468179480,-0.914634,-0.060976,-3.414634,-0.028259,-0.90802,0.152893,8.635110764961553,9.450550680141134
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572473207480,-0.914634,0.121951,-3.292683,-0.026672,-0.908508,0.153992,8.66058247478199,9.755274238365871
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572478235480,-0.853659,0.243902,-3.47561,-0.029541,-0.906921,0.152039,8.84869124076414,9.478112308133632
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572483263480,-0.97561,0.060976,-3.780488,-0.028931,-0.909607,0.154907,8.743834993333166,9.777494344500411
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572488291480,-0.97561,-0.121951,-3.841464,-0.027405,-0.911194,0.153748,8.655702509467346,9.466583959602701
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572493319480,-0.792683,-0.060976,-3.902439,-0.030396,-0.908752,0.150635,9.049384729653326,9.365822191465554
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572498347480,-0.792683,-0.060976,-3.841464,-0.032715,-0.90802,0.150085,8.837901483475946,9.6402048863348
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572503375480,-0.609756,0.060976,-3.536585,-0.030212,-0.907654,0.153076,8.996757716177228,9.354548199588777
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572508403480,-0.487805,0.060976,-3.231707,-0.030212,-0.907349,0.153992,8.85600485061525,9.64923869291627
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572513431480,-0.426829,-0.182927,-2.987805,-0.029724,-0.909241,0.151062,8.82831457596231,9.33748245748967
